feature,score
330X784,4.12666e-05
312X350,4.21952033333e-05
520X326,4.334193e-05
520X421,4.389791e-05
360X673,4.3908125e-05
360X1368,4.40061e-05
520X119,4.47457233333e-05
750X69,4.49075e-05
330X1055,4.49797333333e-05
330X1225,4.5262696e-05
340X73,4.54575e-05
360X840,4.55366966667e-05
360X495,4.5585e-05
750X774,4.56981533333e-05
360X191,4.572905e-05
312X482,4.581859e-05
520X234,4.62077083333e-05
330X1140,4.65534e-05
312X376,4.6721934e-05
360X1031,4.75724866667e-05
750X48,4.81863e-05
360X1053,4.8597e-05
220X74,4.92048e-05
330X658,4.928985e-05
312X337,4.93926466667e-05
344X29,4.984688e-05
520X284,4.993245e-05
312X1,5.063047e-05
311X30,5.11646e-05
312X222,5.13653857143e-05
312X255,5.172690875e-05
330X851,5.17847e-05
520X203,5.21112225e-05
360X633,5.2261745e-05
360X1289,5.288963625e-05
312X216,5.30275869231e-05
312X445,5.3271935e-05
360X180,5.33384233333e-05
400X156,5.344604e-05
330X814,5.38598e-05
330X626,5.42443e-05
330X866,5.42616e-05
330X29,5.4386974e-05
312X215,5.44265483333e-05
750X245,5.45785e-05
340X45,5.533625e-05
750X907,5.53441e-05
750X590,5.54169e-05
750X997,5.595725e-05
330X1143,5.63121e-05
520X27,5.6969725e-05
420X36,5.69879311111e-05
750X1218,5.89395e-05
750X1034,5.94733e-05
750X1301,5.96047e-05
360X202,5.97068e-05
520X124,5.9837935e-05
312X210,6.05541e-05
750X216,6.058965e-05
360X247,6.08363e-05
312X430,6.13409913636e-05
750X1366,6.14033e-05
330X235,6.1470266e-05
360X418,6.1798744e-05
330X741,6.18629e-05
360X888,6.2069455e-05
330X1308,6.231293e-05
330X1021,6.26187742857e-05
340X67,6.28522033333e-05
330X918,6.2950855e-05
400X157,6.4020995e-05
312X13,6.406107e-05
360X1248,6.42439625e-05
360X1148,6.477854e-05
210X92,6.5106666e-05
330X348,6.527591375e-05
750X310,6.52824e-05
312X167,6.7077025e-05
312X38,6.83183e-05
750X1130,6.834965e-05
312X32,6.85412666667e-05
312X349,6.87078133333e-05
750X400,6.93874e-05
750X1279,6.9851925e-05
330X870,7.0417865e-05
520X296,7.08372166667e-05
360X29,7.13798e-05
210X108,7.14571525e-05
312X284,7.2158705e-05
360X588,7.21627666667e-05
520X51,7.284551e-05
311X117,7.293786625e-05
312X529,7.366432e-05
330X968,7.37348e-05
330X415,7.37633633333e-05
750X121,7.41953e-05
360X1372,7.45705e-05
360X1130,7.483031e-05
312X373,7.508261375e-05
344X117,7.55756715385e-05
750X889,7.56442e-05
360X302,7.56529e-05
300X12,7.5777657907e-05
750X650,7.58946e-05
340X7,7.59854e-05
312X645,7.650772e-05
750X325,7.66293e-05
312X260,7.68944e-05
330X902,7.71809845455e-05
340X3,7.73683877778e-05
360X590,7.79161e-05
400X112,7.794488e-05
750X538,7.85219e-05
311X128,7.92154185714e-05
520X169,7.9326725e-05
311X146,7.97554066667e-05
750X483,7.97713e-05
520X277,8.00462e-05
210X13,8.09356234043e-05
420X2,8.096624e-05
520X305,8.1288838e-05
360X445,8.21772666667e-05
311X115,8.2493955e-05
520X325,8.27196266667e-05
310X14,8.285515e-05
330X1001,8.4674855e-05
210X75,8.49701244444e-05
330X460,8.53948646154e-05
210X2,8.80924753304e-05
520X349,8.81801714286e-05
330X1144,8.81979e-05
520X273,8.87026e-05
330X793,9.033675e-05
330X916,9.10238e-05
311X142,9.12121842857e-05
330X1083,9.169555e-05
750X550,9.17533e-05
360X1117,9.19084e-05
330X343,9.22148228571e-05
312X600,9.23034371429e-05
312X160,9.2587e-05
360X272,9.34389675e-05
420X151,9.34897225e-05
312X356,9.3623355e-05
330X754,9.4084e-05
360X190,9.462588375e-05
312X187,9.561175e-05
440AX204,9.61659926667e-05
520X67,9.73102166667e-05
750X492,9.73216433333e-05
311X1,9.74469065217e-05
330X934,9.76247e-05
400X120,9.81720435e-05
360X658,9.87932e-05
330X339,9.90594e-05
750X1307,9.91084663636e-05
312X310,9.9316865e-05
330X643,9.9392586e-05
312X281,0.000100496206
340X61,0.000100560218
330X983,0.0001006073
312X374,0.000100812835556
750X376,0.000101181
